fecha,phys_factor,psic_factor,status,data_collected,titulo ,autor ,co_autores ,ano_pub,DOI,selec_representatividad,selec_no_exp,selec_exposicion,selec_evento,comp_edad,comp_otro,event_eval,event_durac,event_seg,pais,muestra,genero ,pop,edad_base,edad_rango,anos_seg,waves,marco_conceptual ,percent_ee_es,percent_m_ee_es,percent_h_ee_es,operalizacion_1,operalizacion_2,operalizacion_3,operalizacion_4,operalizacion_5,operalizacion_6,operalizacion_7,operalizacion_8,operalizacion_9,operalizacion_10,or_rr,or_rr_ajustado,crudo_ajustado
11/01/2022,,,removed,,Long-term assessment of inflammation and healthy aging in late life: the Cardiovascular Health Study All Stars.,Jenny,"Jenny, Nancy S.; French, Benjamin; Arnold, Alice M.; Strotmeyer, Elsa S.; Cushman, Mary; Chaves, Paulo H. M.; Ding, Jingzhong; Fried, Linda P.; Kritchevsky, Stephen B.; Rifkin, Dena E.; Sarnak, Mark J.; Newman, Anne B.",2012,10.1093/gerona/glr261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,,paused ,,Associations of overweight and metabolic health with successful aging: 32-year follow-up of the Helsinki Businessmen Study.,JyvÃ¤korpi,"Jyväkorpi, Satu K.; Urtamo, Annele; Strandberg, Arto Y.; von Bonsdorff, Mikaela; Salomaa, Veikko; Kivimäki, Mika; Luotola, Kari; Strandberg, Timo E.",2020,10.1016/j.clnu.2019.06.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2022,,1,collected ,1,Prevalence and Factors Associated With Thriving in Older Adulthood: A 10-Year Population-Based Study.,Kaplan,"Kaplan, Mark S.; Huguet, Nathalie; Orpana, Heather; Feeny, David; McFarland, Bentson H.; Ross, Nancy",2008,10.1093/gerona/63.10.1097,1,1,2,2,1,1,3,1,2,Canada ,"2,432",M 59.54%,Canadian National Population Health Survey,70,65 - 85,10,6,Successful aging ,8,7.9,11.7,Health Status,,,,,,,,,,1,2,2
12/01/2022,,1,collected ,1,Optimism and Healthy Aging in Women and Men.,Kim,"Kim, Eric S.; James, Peter; Zevon, Emily S.; Trudel-Fitzgerald, Claudia; Kubzansky, Laura D.; Grodstein, Francine",2019,10.1093/aje/kwz056,1,1,2,1,1,1,3,1,2,U.S.,"5,698",M 61.2%,Health and Retirement Study,66,66 - 68,8,04-mar,Healhty aging,49,NA,NA,Good cognitive function ,Good Physical function,No major chronic diseases,,,,,,,,3,2,2
12/01/2022,,,paused ,,Socioeconomic inequalities in a 16-year longitudinal measurement of successful ageing.,Kok,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2016,10.1136/jech-2015-206938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2022,,,paused ,,The Effects of Life Events and Socioeconomic Position in Childhood and Adulthood on Successful Aging.,Kok,"Kok, Almar A. L.; Aartsen, Marja J.; Deeg, Dorly J. H.; Huisman, Martijn",2017,10.1093/geronb/gbw111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,paused ,,"Social determinants, health status and 10-year mortality among 10,906 older adults from the English longitudinal study of aging: the ATHLOS project.",Kollia,"Kollia, Natasa; Caballero, Francisco Félix; Sánchez-Niubó, Albert; Tyrovolas, Stefanos; Ayuso-Mateos, José Luis; Haro, Josep Maria; Chatterji, Somnath; Panagiotakos, Demosthenes B.",2018,10.1186/s12889-018-6288-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,removed,,"Mental health in the aged: prevalence, covariates and related neuroendocrine, cardiovascular and inflammatory factors of successful aging.",La cruz,"Lacruz, Maria E.; Emeny, Rebecca T.; Bickel, Horst; Cramer, Barbara; Kurz, Alexander; Bidlingmaier, Martin; Huber, Dorothea; Klug, Günther; Peters, Annette; Ladwig, Karl H.",2010,10.1186/1471-2288-10-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,removed,,Age-Related Alterations in Endocrine Markers Do Not Match Changes in Psychosocial Measures: Findings From the Men's Health 40+ Longitudinal Study.,Lacker,"Lacker, T. J.; Walther, A.; Ehlert, U.",2020,10.1177/1557988320926332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,removed,,Aging Well Among Women Veterans Compared With Non-Veterans in the Women�s Health Initiative.,LaCroix,"LaCroix AZ, Rillamas-Sun E, Woods NF, Weitlauf J, Zaslavsky O, Shih R, et�al. ",2016,10.1093/geront/gnv124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
